기준월,관광지,순위,연관관광지,대분류,중분류,소분류,시도,시군구
202605,경복궁,1,북촌한옥마을,관광지,역사관광,역사유적지,서울특별시,종로구
202605,경복궁,2,남산케이블카,관광지,기타관광,기타관광,서울특별시,중구
202605,경복궁,3,광장시장,관광지,쇼핑,시장,서울특별시,종로구
202605,경복궁,4,서울역,관광지,기타관광,교통시설,서울특별시,용산구
202605,경복궁,5,북악스카이웨이,관광지,기타관광,데이트코스,서울특별시,종로구
202605,경복궁,6,팔각정북악스카이,관광지,문화관광,랜드마크관광,서울특별시,종로구
202605,경복궁,7,국립중앙박물관,관광지,문화관광,전시시설,서울특별시,용산구
202605,경복궁,8,덕수궁,관광지,역사관광,역사유적지,서울특별시,중구
202605,경복궁,9,YTN서울타워,관광지,문화관광,랜드마크관광,서울특별시,용산구
202605,경복궁,10,코리아나호텔/서울,숙박,숙박,호텔,서울특별시,중구
202605,경복궁,11,토속촌삼계탕,음식,음식,한식,서울특별시,종로구
202605,경복궁,12,롯데백화점/본점,관광지,쇼핑,백화점,서울특별시,중구
202605,경복궁,13,호텔국도,숙박,숙박,호텔,서울특별시,중구
202605,경복궁,14,서대문형무소역사관,관광지,문화관광,전시시설,서울특별시,서대문구
202605,경복궁,15,청와대앞길,관광지,문화관광,테마공원,서울특별시,종로구
202605,경복궁,16,노보텔앰배서더호텔/서울동대문,숙박,숙박,호텔,서울특별시,중구
202605,경복궁,17,트레블로지동대문호텔,숙박,숙박,호텔,서울특별시,중구
202605,경복궁,18,광화문,관광지,역사관광,역사유적지,서울특별시,종로구
202605,경복궁,19,세종호텔,숙박,숙박,호텔,서울특별시,중구
202605,경복궁,20,롯데영플라자/명동점 공사중(2026년오픈예정),관광지,쇼핑,백화점,서울특별시,중구
202605,경복궁,21,트레블로지명동을지로호텔,숙박,숙박,호텔,서울특별시,중구
202605,경복궁,22,천궁토종삼계탕,음식,음식,한식,서울특별시,마포구
202605,경복궁,23,숭례문,관광지,역사관광,역사유적지,서울특별시,중구
202605,경복궁,24,롯데호텔/서울점,숙박,숙박,호텔,서울특별시,중구
202605,경복궁,25,롯데면세점/명동본점,관광지,쇼핑,면세점,서울특별시,중구
202605,경복궁,26,애슐리퀸즈/종각역점,음식,음식,전문음식,서울특별시,종로구
202605,경복궁,27,탑골공원,관광지,문화관광,도시공원,서울특별시,종로구
202605,경복궁,28,이비스앰배서더/서울 인사동,숙박,숙박,호텔,서울특별시,종로구
202605,경복궁,29,로얄호텔서울,숙박,숙박,호텔,서울특별시,중구
202605,경복궁,30,원조남산왕돈까스,음식,음식,전문음식,서울특별시,중구
202605,경복궁,31,창덕궁,관광지,역사관광,역사유적지,서울특별시,종로구
202605,경복궁,32,르메르디앙/서울명동점,숙박,숙박,호텔,서울특별시,중구
202605,경복궁,33,신라아이파크면세점/아이파크몰용산점,관광지,쇼핑,면세점,서울특별시,용산구
202605,경복궁,34,L7 명동 바이 롯데호텔,숙박,숙박,호텔,서울특별시,중구
202605,경복궁,35,남대문시장,관광지,쇼핑,시장,서울특별시,중구
202605,경복궁,36,웨스틴서울파르나스,숙박,숙박,호텔,서울특별시,강남구
202605,경복궁,37,경향아트힐,관광지,문화관광,공연시설,서울특별시,중구
202605,경복궁,38,청계천,관광지,문화관광,테마공원,서울특별시,종로구
202605,경복궁,39,N서울타워,관광지,문화관광,랜드마크관광,서울특별시,용산구
202605,경복궁,40,골든씨티호텔,숙박,숙박,호텔,서울특별시,동대문구
202605,경복궁,41,뉴서울호텔,숙박,숙박,호텔,서울특별시,중구
202605,경복궁,42,JK블라썸호텔,숙박,숙박,호텔,서울특별시,강서구
202605,경복궁,43,명동교자/본점,음식,음식,한식,서울특별시,중구
202605,경복궁,44,창경궁,관광지,역사관광,역사유적지,서울특별시,종로구
202605,경복궁,45,경희궁,관광지,역사관광,역사유적지,서울특별시,종로구
202605,경복궁,46,조계사,관광지,역사관광,종교성지,서울특별시,종로구
202605,경복궁,47,수서역,관광지,기타관광,교통시설,서울특별시,강남구
202605,경복궁,48,DH네상스호텔,숙박,숙박,호텔,서울특별시,성북구
202605,경복궁,49,포포인츠바이쉐라톤/서울구로,숙박,숙박,호텔,서울특별시,구로구
202605,경복궁,50,마로니에공원,관광지,문화관광,도시공원,서울특별시,종로구
